"","Speaker","DRESS_F1","DRESS_F2","KIT_F1","KIT_F2","THOUGHT_F1","THOUGHT_F2","STRUT_F1","STRUT_F2","NURSE_F1","NURSE_F2","LOT_F1","LOT_F2","FLEECE_F1","FLEECE_F2","GOOSE_F1","GOOSE_F2","TRAP_F1","TRAP_F2","START_F1","START_F2"
"1","LIV_ArchiveF02",-0.182365617547001,0.217232767726637,-0.0918399613867646,0.0488129761136701,-0.0416552021693503,-0.00387806650941652,0.264676077198166,0.184280937017404,0.182760186769282,-0.131728400047602,-0.061086984632436,0.0874002535097316,-0.0547513333893268,0.0212491763945084,0.0610465448958853,-0.405723040715341,0.261673867902395,0.0912366645375427,-0.22464060490262,-0.0257730031648594
"2","LIV_ArchiveF03",0.0589044575874124,-0.0404697210631057,0.0403794689120979,-0.00846146600085102,-0.121962545711205,-0.0798812226299816,0.214562200494154,0.35049138808248,-0.2029916644067,0.405493159748765,0.00891116604541535,-0.0871835639347579,-0.0802528622504889,-0.200067631322271,0.101534134477343,-0.147383546304473,-0.109983580810786,-0.0761165381207325,0.0218085309953815,-0.1370722938325
"3","LIV_ArchiveF05",-0.252985205378812,-0.0737718273164209,-0.0105601579751649,-0.0547499979311111,0.10431571009049,0.0885988158249979,-0.318241881469592,-0.472165060724827,-0.315064721690182,0.131517851902488,0.0616012808555585,0.076140579066903,0.171671986456548,0.0441471083992767,0.0858263649013754,-0.00262844558082787,-0.103263095689641,-0.104337417935522,0.315442058386871,0.312743643252888
"4","LIV_ArchiveF06",0.201658407875838,0.190054161817587,-0.0375329815215365,0.0865636407732494,-0.229103610170951,-0.215100783501492,-0.238409531389365,0.3693970295986,0.296661513321721,-0.335098327576713,-0.305196391930742,-0.2599484972721,0.1231939491787,-0.198840114148233,0.143331662034952,0.673972424584319,0.1643040551828,0.0907808111724447,0.0177440152864449,-0.248511168027601
"5","LIV_ArchiveF07",0.322642940769642,-0.0858392932383942,-0.0694703741854585,0.0585762461856495,0.0273002981271621,0.0872085086278309,-0.0842308901748727,0.0638077678019079,0.167297166308699,0.185675111575618,0.277467848060041,0.137176935661559,-0.0430119208596075,0.0629299020660361,-0.09037102594674,-0.516740090171651,-0.365546972699184,0.0446012756731448,-0.0418744258481785,0.0666827301681589
"6","LIV_ArchiveM04",0.0840401020293489,0.0330928982337066,0.0542132471624231,0.0653071080511823,0.000483306386221353,0.00985901432681991,0.0160921298000677,-0.114270635172961,0.230865373830906,0.0361141927384766,-0.0955744634593901,0.0248372431391076,-0.124452693473247,0.0959195609070695,-0.0718696292765725,-0.430532351727079,-0.00760018079232874,0.0350315232990958,-0.00825830993558841,0.277422344682422
"7","LIV_ArchiveM06",-0.10087678354455,0.0618251124961094,-0.172710802775348,-0.0854155051498582,0.0159665435586476,-0.169487698874141,-0.231681576164106,0.213175594756507,-0.289644891831497,0.262781178834043,0.200038096129245,0.00466772150302179,0.22118057086897,-0.216669082272373,0.214295985099617,-0.125734449558317,-0.306161064497807,0.0213517996786114,0.300432122946352,-0.196226849621529
"8","LIV_ArchiveM07",0.0563905864635338,-0.154229062289265,-0.0397476045740597,-0.0311061470384106,0.168076202226881,-0.13390496781762,0.156286066565239,0.163358960450028,-0.00385033632817482,-0.057684738046448,0.086768030177283,-0.0871994539482577,-0.055882488923165,-0.123244347656211,-0.13286062776322,0.394763711159611,-0.0808633106398029,0.0827275809433527,-0.118731003094532,-0.0272366812306145
"9","LIV_ArchiveM10",-0.0599316323307559,-0.0187160852396712,0.0850093169108562,-0.00790169587206794,-0.176647683722199,0.0800993974852042,-0.245698180674279,-0.110365945231025,-0.181613600080862,0.0673705831720668,0.00646894490389718,0.161774111010549,0.0948635626841016,0.0783579674707624,0.0948509996227835,-0.10882095990673,0.0328682854739295,-0.0428269420154783,0.12706648530046,0.0371663446459747
"10","LIV_ArchiveM14",-0.104084027949545,0.274312841103127,0.0354880703974009,0.0363323999566489,0.133706964717594,0.112529652650258,0.146433558020084,-0.159840316372211,0.00577446184409705,-0.0350586291142343,-0.00169278515746712,-0.0934433927692668,-0.0613952462103805,-0.034026018236216,-0.0139410405986203,-0.019780028782293,0.0559920452843749,-0.149523933572617,-0.00763367595852446,0.00591914169448424
