Speaker,DRESS_F1,DRESS_F2,FLEECE_F1,FLEECE_F2,GOOSE_F1,GOOSE_F2,KIT_F1,KIT_F2,LOT_F1,LOT_F2,NURSE_F1,NURSE_F2,START_F1,START_F2,STRUT_F1,STRUT_F2,THOUGHT_F1,THOUGHT_F2,TRAP_F1,TRAP_F2
QB_NZ_F_762,0.07423775428728381,-0.0418578492588033,-0.05013337583485266,0.0465173990734961,-0.15277553230441923,0.01684893481048063,-0.10989994425982785,0.4105030893291767,-0.27729313965700336,-0.08389969045939127,0.06381357194739949,-0.16282555826607478,0.06876223939515486,-0.2469006912441635,0.12592685256304048,-0.03146626197191825,0.16835376224392384,-0.09583812677086125,0.160641121388209,0.02610839947477124
QB_NZ_F_764,0.02135429479871626,0.011374921299700885,0.011415018229315867,0.02674901327230301,-0.059624151673130496,-0.01655665784018029,0.1250759837735818,-0.04697217144187165,-9.291420624943245e-4,-0.04851511257209436,-0.2562669027271278,0.0612000845351167,-0.09034740186440876,0.11898265667197862,0.0865212850693749,-0.009560736028671678,-0.13143833889150927,0.07047526180032207,0.24946134401704298,-0.05654178458845664
QB_NZ_F_778,-0.10464171378082868,-0.03033360256510966,0.14945210757460836,-0.10943354803332253,-0.032405372024402246,0.05277293502387653,0.018049792694358573,-0.03612663363120724,0.08425312140586251,0.03432423345284389,0.07348526852636296,0.06876427269838661,0.12003211530996198,0.1665320901940856,0.04345940002876904,0.06188143897922072,0.13562534071634436,-0.0501118458631835,-0.35033855770397976,-0.015272014266049447
QB_NZ_F_781,-0.13806552413437884,0.1872167998666086,0.07411808943630734,-0.030714567966596513,0.17220963039615492,-0.1123261725468489,0.16058693907705263,-0.007684452222855871,-0.11698400013370197,0.11159961530300155,-0.14354264239387993,-0.09779662742182876,-0.04917290817530504,-0.006952424165963529,0.15231920161152265,-0.007847307426459341,0.012582595795403656,0.054668295662380705,-0.1946492753844583,0.10053053775994453
QB_NZ_F_793,0.0036107645588386366,0.1254696892347795,0.1513457841615457,-0.0556842033020857,0.0651933538303916,-0.12984448190552111,-0.13445621514838463,-0.11807396923511497,-0.3141475141919108,-0.1675546342018124,-0.13635515872191306,0.043831618344786896,0.09602519758541543,0.033709806444357955,-0.153544708036568,-0.07835273391811097,0.28278395639941006,-0.13628301107089977,-0.2782170732626973,0.1185681106600957
QB_NZ_F_798,-0.04446312739475074,-0.1058624008990175,-0.12042134060907586,0.08712079322530715,0.008499477568637573,0.1666997697507901,0.1819257249576,-0.17314727691520462,0.07902096849241642,-0.07354673782790548,-0.015063074534124959,0.12716272699610126,0.1696565707477633,-0.06277217451611637,0.08376993402487139,-0.2606988734783863,0.14785095175237695,-0.08291499866565695,-0.01070330433451065,-0.0026064229255244264
QB_NZ_F_809,0.12725907345094187,-0.012602813308428188,0.12302156789403612,0.23972001499044945,0.055335317900712895,-0.14456521545540585,0.039099090548926116,0.17293357366427323,-0.22094269921448426,0.13515476568768067,0.09123132561791882,-0.08192589792203638,0.03800235118258888,-0.13715674630029046,-0.07967545830154944,-0.09291346953950697,-0.060736887181000745,-0.017576501942833982,0.2543686015547771,-0.126921815413293
QB_NZ_F_810,-0.12014207373247004,0.12067602498772687,0.0794456488297754,-0.16334248781866428,0.10343023692417946,-0.04147417378324372,0.12098915059155106,-0.0687785485415759,0.06713301070632169,0.024255522142104077,-0.08349319003676377,0.10835877664766615,-0.014543432950630337,0.12492424220323246,0.0453302636765259,0.08190416099258627,0.034147652572888106,0.0611677565082453,-0.4601449092928604,0.05338403232058599
QB_NZ_F_811,0.02450263794125751,-0.06671683138812312,0.23608929398963097,-0.2426183057529989,0.06253199307727887,-0.16121422556071185,0.11424034309115388,-0.0584573089366052,-0.27542652244292065,-0.0330278325238091,-0.036368869621153564,0.12098516686324345,-0.015347960640786648,0.06942464648929228,0.13559533770527127,0.10125260031217569,-0.02306966812994587,0.02389662565285872,-0.3556694648131072,0.1969932364259163
QB_NZ_F_813,-0.12600663888503016,0.04283870688176321,0.045034121015021786,-0.11743901618004263,0.05024813895737313,0.18833927124249833,0.14345575229753085,-0.18409362587480002,0.07859288077624323,0.026836530640347526,-0.09239875847198038,0.15131380454096474,-0.24380940953797642,0.010994062552610423,0.19865073102848338,-0.026359165277011376,-0.15447481152547224,0.04370945138546022,-0.2527704298163769,0.00225716454140923
QB_NZ_F_815,0.005852480609370088,0.02293279523715352,0.21360635543262252,-0.1030653595588581,0.006132390994612678,-0.01530526143209309,0.15898425024976484,0.05612668499738703,-0.21170335695996056,-0.048230814284776394,-0.10133572921893783,0.002365171101995346,-0.015936744042536064,0.11891194254853092,0.07356005968490119,0.06866974504951547,-0.20140650247773734,-0.022813455919712563,0.14268592226876173,-0.09696366591656018
QB_NZ_F_822,-0.1480484868282952,0.13287200642295802,0.16290496338385982,-0.14317644586083478,0.19923110683407716,-0.36958289891370866,0.0563747245183796,-0.053757760569024725,-0.08330700737947784,0.05843264498876077,-0.034227791586208915,0.028305750860236963,0.09478326683745249,0.16033966692889268,-0.16460227482504014,0.1306734240742191,-0.12373824883478945,0.19534510692349596,0.04376104357027444,0.1322213671766863
QB_NZ_F_828,0.06760764871025315,0.03186777757167108,0.03720292180979688,-0.09847363994757719,-0.036307909184381586,0.010944044935244032,0.012222651054376516,-0.06928646809130258,0.00432690010811671,0.10291079944679463,-0.03808239861278475,-0.02385996251041152,-0.014837920722320135,0.15479985864135856,0.04512540213495547,0.052874258192423,-0.04467490328725798,0.11173069562137516,-0.19476038296221762,0.0851766200111714
